menu,cdx_menu_name,map,shortname,category,test_type,test_type_abbr,quiz,qn_category
,,,,,,,Torque converters,torqueconverters
,,,,,,,Planetary gearing,planetarygearing
,,,,,,,Electronic control transmission,eleccontroltrans
,,,,,,,Layout & operation,layoutop
,,,,,,,Servos and clutches,servosclutches
,,,,,,,Hydraulic system & controls,hydraulicsyscontrols
,,,,,,,Valve types & functions,valvetypes
,,,,,,,Pressure regulation,pressureregulation
,,,,,,,Flow control,flowcontrol
,,,,,,,Continuously variable transmission (C.V.T.),cvt
,,,,,,,Automatic transmissions procedures,autotransproc
,,,,,,,Clutches,clutches
,,,,,,,Clutch components,clutchescomp
,,,,,,,Clutches & manual transmission procedures,clutchesmanualtransproc
,,,,,Practice Exam,PE,Red Seal Drive Line Systems,RsdrivelinePE
,,,,,Final Exam,FE,Red Seal Drive Line Systems,RsdrivelineFE
,,,Elec,Elec & Comfort Control Systems,Topic Group Test,TGT,Electrical fundamentals,elecfundas
,,,,,,,Electrics,electrics
,,,,,,,Sources of electricity,sourceselec
,,,,,,,Effects of electricity,effectselec
,,,,,,,Circuits & measurement,circuitsmeasure
,,,,,,,Electrical components,electricalcomp
,,,,,,,Electronic components,electroniccomp
,,,,,,,Electronics,electronics
,,,,,,,Batteries,batteries
,,,,,,,Charging,charging
,,,,,,,Alternator construction,alternatorconstruction
,,,,,,,Starting,starting
,,,,,,,Lighting,lighting
,,,,,,,Types of lights,typesoflights
,,,,,,,Lighting circuits,lightingcircuits
,,,,,,,Entertainment & peripheral systems,entertainment
,,,,,,,Security Systems,securitysys
,,,,,,,Satellite assisted systems,satellitesys
,,,,,,,HVAC basic principles ,hvacbasicprinc
,,,,,,,Fixed orifice tube air-conditioning system ,fixedorifice
,,,,,,,Thermal expansion valve air-conditioning system,thermalexpansion
,,,,,,,Air-conditioning components,airconcomp
,,,,,,,Climate control,climatecontrol
,,,,,Find-The-Missing Word,FTMW,Electrical fundamentals,elecfundas
,,,,,,,Electrics,electrics
,,,,,,,Sources of electricity,sourceselec
,,,,,,,Effects of electricity,effectselec
,,,,,,,Circuits & measurement,circuitsmeasure
,,,,,,,Electrical testing procedures ,electestproc
,,,,,,,Electrical components,electricalcomp
,,,,,,,Wires & connectors procedures ,wires
,,,,,,,Electronic components,electroniccomp
,,,,,,,Electronics,electronics
,,,,,,,Batteries,batteries
,,,,,,,Battery maintenance procedures,batterymaintenanceproc
,,,,,,,Charging,charging
,,,,,,,Alternator construction,alternatorconstruction
,,,,,,,Charging procedures,chargingproc
,,,,,,,Starting,starting
,,,,,,,Starting procedures,startingproc
,,,,,,,Lighting,lighting
,,,,,,,Types of lights,typesoflights
,,,,,,,Lighting circuits,lightingcircuits
,,,,,,,Lighting procedures,lightingproc
,,,,,,,Entertainment & peripheral systems,entertainment
,,,,,,,Security Systems,securitysys
,,,,,,,Satellite assisted systems,satellitesys
,,,,,,,HVAC basic principles ,hvacbasicprinc
,,,,,,,Fixed orifice tube air-conditioning system ,fixedorifice
,,,,,,,Thermal expansion valve air-conditioning system,thermalexpansion
,,,,,,,Air-conditioning components,airconcomp
,,,,,,,Climate control,climatecontrol
,,,,,,,HVAC procedures,hvacproc
,,,,,Practice Exam,PE,Red Seal Elec & Comfort Control Systems,RselecPE
,,,,,Final Exam,FE,Red Seal Elec & Comfort Control Systems,RselecFE
,,,SteerSusp,"Steering, Suspension, Brake & Control",Topic Group Test,TGT,Steering principles,steeringprinc
,,,,,,,Steering boxes & columns,steerboxes
,,,,,,,Steering arms & components,steeringarms
,,,,,,,Suspension fundamental principles,suspensionfundas
,,,,,,,Types of suspension,suspensiontypes
,,,,,,,Types of springs,springtypes
,,,,,,,Shock absorber types ,shocktypes
,,,,,,,Front suspension types & components,frontsusptypes
,,,,,,,Rear suspension types & components,rearsusptypes
,,,,,,,Suspension system layouts,suspsyslayouts
,,,,,,,Braking fundamentals ,brakesfundas
,,,,,,,Braking systems ,brakesys
,,,,,,,Braking system components,brakesyscomp
,,,,,,,Drum brakes & components ,drumbrakescomp
,,,,,,,Disc brakes & components ,discbrakecomp
,,,,,,,Antilock braking system & components,antilockbrakes
,,,,,,,Wheel types & sizes ,wheeltypes
,,,,,,,Tire types & characteristics ,tiretypes
,,,,,,,Tire construction,tireconstruction
,,,,,,,Wheel alignment fundamentals,wheelalign
,,,,,Find-The-Missing Word,FTMW,Steering principles,steeringprinc
,,,,,,,Steering boxes & columns,steerboxes
,,,,,,,Steering arms & components,steeringarms
,,,,,,,Steering system procedures,steersysproc
,,,,,,,Suspension fundamental principles,suspensionfundas
,,,,,,,Types of suspension,suspensiontypes
,,,,,,,Types of springs,springtypes
,,,,,,,Shock absorber types ,shocktypes
,,,,,,,Front suspension types & components,frontsusptypes
,,,,,,,Rear suspension types & components,rearsusptypes
,,,,,,,Suspension system layouts,suspsyslayouts
,,,,,,,Suspension system procedures,suspsysproc
,,,,,,,Braking fundamentals ,brakesfundas
,,,,,,,Braking systems ,brakesys
,,,,,,,Braking system components,brakesyscomp
,,,,,,,Drum brakes & components ,drumbrakescomp
,,,,,,,Disc brakes & components ,discbrakecomp
,,,,,,,Antilock braking system & components,antilockbrakes
,,,,,,,Brakes procedures,brakesproc
,,,,,,,Wheel types & sizes ,wheeltypes
,,,,,,,Tire types & characteristics ,tiretypes
,,,,,,,Tire construction,tireconstruction
,,,,,,,Wheel alignment fundamentals,wheelalign
,,,,,,,Wheels & tires procedures,wheelstiresproc
,,,,,Practice Exam,PE,"Red Seal Steering, Suspension, Brake & Control",RssteerSuspPE
,,,,,Final Exam,FE,"Red Seal Steering, Suspension, Brake & Control",RssteersuspFE
,,,Bodytrim,"Body, Trim & Restraint",Topic Group Test,TGT,Safety Systems,safetysys
,,,,,Find-The-Missing Word,FTMW,Safety Systems,safetysys
,,,,,Practice Exam,PE,"Red Seal Body, Trim & Restraint",RsbodytrimPE
,,,,,Final Exam,FE,"Red Seal Body, Trim & Restraint",RsbodytrimFE
